station_id,stationname,date,daytype,rides
41030,Polk,2/2/2017,W,"3,226"
41040,Kedzie-Cermak,2/2/2017,W,985
41050,Linden,2/2/2017,W,810
41060,Ashland-Orange,2/2/2017,W,"1,592"
41070,Kedzie-Lake,2/2/2017,W,"1,354"
41080,47th-South Elevated,2/2/2017,W,"1,141"
41090,Monroe/State,2/2/2017,W,"11,407"
41120,35-Bronzeville-IIT,2/2/2017,W,"1,784"
41130,Halsted-Orange,2/2/2017,W,"2,791"
41140,King Drive,2/2/2017,W,539
41150,Kedzie-Midway,2/2/2017,W,"3,449"
41160,Clinton-Lake,2/2/2017,W,"4,197"
41170,Garfield-Dan Ryan,2/2/2017,W,"3,314"
41180,Kedzie-Brown,2/2/2017,W,"1,983"
41190,Jarvis,2/2/2017,W,"1,684"
41200,Argyle,2/2/2017,W,"3,151"
41210,Wellington,2/2/2017,W,"3,261"
41220,Fullerton,2/2/2017,W,"14,350"
41230,47th-Dan Ryan,2/2/2017,W,"2,939"
41240,Addison-O'Hare,2/2/2017,W,"2,827"
41250,Central-Evanston,2/2/2017,W,756
41260,Austin-Lake,2/2/2017,W,"1,889"
41270,43rd,2/2/2017,W,"1,009"
41280,Jefferson Park,2/2/2017,W,"6,920"
41290,Kimball,2/2/2017,W,"4,209"
41300,Loyola,2/2/2017,W,"5,623"
41310,Paulina,2/2/2017,W,"2,981"
41320,Belmont-North Main,2/2/2017,W,"12,189"
41330,Montrose-O'Hare,2/2/2017,W,"2,638"
41340,LaSalle,2/2/2017,W,"3,430"
41350,Oak Park-Lake,2/2/2017,W,"1,529"
41360,California-Lake,2/2/2017,W,"1,003"
41380,Bryn Mawr,2/2/2017,W,"4,732"
41400,Roosevelt,2/2/2017,W,"10,439"
41410,Chicago/Milwaukee,2/2/2017,W,"4,234"
41420,Addison-North Main,2/2/2017,W,"6,365"
41430,87th,2/2/2017,W,"4,078"
41440,Addison-Brown,2/2/2017,W,"2,686"
41450,Chicago/State,2/2/2017,W,"14,413"
41460,Irving Park-Brown,2/2/2017,W,"3,233"
41480,Western-Brown,2/2/2017,W,"4,204"
41490,Harrison,2/2/2017,W,"4,600"
41500,Montrose-Brown,2/2/2017,W,"2,902"
41510,Morgan-Lake,2/2/2017,W,"2,700"
41660,Lake/State,2/2/2017,W,"21,056"
41670,Conservatory,2/2/2017,W,877
41680,Oakton-Skokie,2/2/2017,W,967
41690,Cermak-McCormick Place,2/2/2017,W,"1,133"
40010,Austin-Forest Park,2/3/2017,W,"1,956"
40020,Harlem-Lake,2/3/2017,W,"3,786"
40030,Pulaski-Lake,2/3/2017,W,"1,474"
40040,Quincy/Wells,2/3/2017,W,"7,497"
40050,Davis,2/3/2017,W,"3,841"
40060,Belmont-O'Hare,2/3/2017,W,"5,491"
40070,Jackson/Dearborn,2/3/2017,W,"6,807"
40080,Sheridan,2/3/2017,W,"5,227"
40090,Damen-Brown,2/3/2017,W,"2,741"
40100,Morse,2/3/2017,W,"4,658"
40120,35th/Archer,2/3/2017,W,"2,750"
40130,51st,2/3/2017,W,882
40140,Dempster-Skokie,2/3/2017,W,"1,647"
40150,Pulaski-Cermak,2/3/2017,W,"1,013"
40160,LaSalle/Van Buren,2/3/2017,W,"2,755"
40170,Ashland-Lake,2/3/2017,W,"2,068"
40180,Oak Park-Forest Park,2/3/2017,W,"1,763"
40190,Sox-35th-Dan Ryan,2/3/2017,W,"3,914"
40200,Randolph/Wabash,2/3/2017,W,"8,423"
40210,Damen-Cermak,2/3/2017,W,"1,363"
40220,Western-Forest Park,2/3/2017,W,"1,347"
40230,Cumberland,2/3/2017,W,"4,019"
40240,79th,2/3/2017,W,"6,676"
40250,Kedzie-Homan-Forest Park,2/3/2017,W,"1,876"
40260,State/Lake,2/3/2017,W,"8,627"
40270,Main,2/3/2017,W,"1,165"
40280,Central-Lake,2/3/2017,W,"2,006"
40290,Ashland/63rd,2/3/2017,W,"1,073"
40300,Indiana,2/3/2017,W,774
40310,Western-Orange,2/3/2017,W,"3,251"
40320,Division/Milwaukee,2/3/2017,W,"6,154"
40330,Grand/State,2/3/2017,W,"10,955"
40340,Berwyn,2/3/2017,W,"3,299"
40350,UIC-Halsted,2/3/2017,W,"6,837"
40360,Southport,2/3/2017,W,"3,525"
40370,Washington/Dearborn,2/3/2017,W,"12,084"
40380,Clark/Lake,2/3/2017,W,"19,731"
40390,Forest Park,2/3/2017,W,"3,233"
40400,Noyes,2/3/2017,W,965
40420,Cicero-Cermak,2/3/2017,W,"1,200"
40430,Clinton-Forest Park,2/3/2017,W,"3,740"
40440,California-Cermak,2/3/2017,W,"1,238"
40450,95th/Dan Ryan,2/3/2017,W,"9,861"
40460,Merchandise Mart,2/3/2017,W,"7,358"
40470,Racine,2/3/2017,W,"1,533"
40480,Cicero-Lake,2/3/2017,W,"1,257"
40490,Grand/Milwaukee,2/3/2017,W,"2,522"
40510,Garfield-South Elevated,2/3/2017,W,"1,215"
40520,Foster,2/3/2017,W,967
40530,Diversey,2/3/2017,W,"5,321"
40540,Wilson,2/3/2017,W,"4,921"
40550,Irving Park-O'Hare,2/3/2017,W,"4,038"
40560,Jackson/State,2/3/2017,W,"9,096"
40570,California/Milwaukee,2/3/2017,W,"5,704"
40580,54th/Cermak,2/3/2017,W,"1,949"
40590,Damen/Milwaukee,2/3/2017,W,"6,620"
40600,Kostner,2/3/2017,W,460
40610,Ridgeland,2/3/2017,W,"1,217"
40630,Clark/Division,2/3/2017,W,"7,375"
40640,Madison/Wabash,2/3/2017,W,0
40650,North/Clybourn,2/3/2017,W,"5,599"
40660,Armitage,2/3/2017,W,"3,580"
40670,Western/Milwaukee,2/3/2017,W,"4,897"
40680,Adams/Wabash,2/3/2017,W,"8,197"
40690,Dempster,2/3/2017,W,863
40700,Laramie,2/3/2017,W,"1,079"
40710,Chicago/Franklin,2/3/2017,W,"6,254"
40720,East 63rd-Cottage Grove,2/3/2017,W,"1,141"
40730,Washington/Wells,2/3/2017,W,"7,663"
40740,Western-Cermak,2/3/2017,W,"1,069"
40750,Harlem-O'Hare,2/3/2017,W,"2,729"
40760,Granville,2/3/2017,W,"4,448"
40770,Lawrence,2/3/2017,W,"3,453"
40780,Central Park,2/3/2017,W,"1,071"
40790,Monroe/Dearborn,2/3/2017,W,"8,137"
40800,Sedgwick,2/3/2017,W,"3,509"
40810,Medical Center,2/3/2017,W,"2,567"
40820,Rosemont,2/3/2017,W,"5,546"
40830,18th,2/3/2017,W,"1,725"
40840,South Boulevard,2/3/2017,W,803
40850,Library,2/3/2017,W,"3,187"
40870,Francisco,2/3/2017,W,"1,529"
40880,Thorndale,2/3/2017,W,"2,713"
40890,O'Hare Airport,2/3/2017,W,"9,649"
40900,Howard,2/3/2017,W,"5,672"
40910,63rd-Dan Ryan,2/3/2017,W,"2,728"
40920,Pulaski-Forest Park,2/3/2017,W,"1,608"
40930,Midway Airport,2/3/2017,W,"7,659"
40940,Halsted/63rd,2/3/2017,W,599
40960,Pulaski-Orange,2/3/2017,W,"4,174"
40970,Cicero-Forest Park,2/3/2017,W,"1,421"
40980,Harlem-Forest Park,2/3/2017,W,"1,176"
40990,69th,2/3/2017,W,"4,990"
41000,Cermak-Chinatown,2/3/2017,W,"3,790"
41010,Rockwell,2/3/2017,W,"1,817"
41020,Logan Square,2/3/2017,W,"7,267"
41030,Polk,2/3/2017,W,"3,009"
41040,Kedzie-Cermak,2/3/2017,W,970
41050,Linden,2/3/2017,W,799
41060,Ashland-Orange,2/3/2017,W,"1,392"
41070,Kedzie-Lake,2/3/2017,W,"1,098"
41080,47th-South Elevated,2/3/2017,W,"1,177"
41090,Monroe/State,2/3/2017,W,"10,991"
41120,35-Bronzeville-IIT,2/3/2017,W,"1,846"
41130,Halsted-Orange,2/3/2017,W,"2,593"
41140,King Drive,2/3/2017,W,535
41150,Kedzie-Midway,2/3/2017,W,"3,064"
41160,Clinton-Lake,2/3/2017,W,"3,910"
41170,Garfield-Dan Ryan,2/3/2017,W,"3,288"
41180,Kedzie-Brown,2/3/2017,W,"1,857"
41190,Jarvis,2/3/2017,W,"1,661"
41200,Argyle,2/3/2017,W,"3,086"
41210,Wellington,2/3/2017,W,"3,077"
41220,Fullerton,2/3/2017,W,"11,812"
41230,47th-Dan Ryan,2/3/2017,W,"2,667"
41240,Addison-O'Hare,2/3/2017,W,"2,493"
41250,Central-Evanston,2/3/2017,W,719
41260,Austin-Lake,2/3/2017,W,"1,828"
41270,43rd,2/3/2017,W,882
41280,Jefferson Park,2/3/2017,W,"6,430"
41290,Kimball,2/3/2017,W,"3,777"
41300,Loyola,2/3/2017,W,"5,912"
41310,Paulina,2/3/2017,W,"2,512"
41320,Belmont-North Main,2/3/2017,W,"11,719"
41330,Montrose-O'Hare,2/3/2017,W,"2,303"
41340,LaSalle,2/3/2017,W,"2,832"
41350,Oak Park-Lake,2/3/2017,W,"1,458"
41360,California-Lake,2/3/2017,W,937
41380,Bryn Mawr,2/3/2017,W,"4,587"
41400,Roosevelt,2/3/2017,W,"10,509"
41410,Chicago/Milwaukee,2/3/2017,W,"3,929"
41420,Addison-North Main,2/3/2017,W,"5,906"
41430,87th,2/3/2017,W,"4,097"
41440,Addison-Brown,2/3/2017,W,"2,153"
41450,Chicago/State,2/3/2017,W,"14,416"
41460,Irving Park-Brown,2/3/2017,W,"3,088"
41480,Western-Brown,2/3/2017,W,"3,848"
41490,Harrison,2/3/2017,W,"3,871"
41500,Montrose-Brown,2/3/2017,W,"2,731"
41510,Morgan-Lake,2/3/2017,W,"2,644"
41660,Lake/State,2/3/2017,W,"20,066"
41670,Conservatory,2/3/2017,W,759
41680,Oakton-Skokie,2/3/2017,W,864
41690,Cermak-McCormick Place,2/3/2017,W,"1,006"
40010,Austin-Forest Park,2/4/2017,A,776
40020,Harlem-Lake,2/4/2017,A,"2,010"
40030,Pulaski-Lake,2/4/2017,A,"1,001"
40040,Quincy/Wells,2/4/2017,A,"1,161"
40050,Davis,2/4/2017,A,"2,322"
40060,Belmont-O'Hare,2/4/2017,A,"2,956"
40070,Jackson/Dearborn,2/4/2017,A,"2,438"
40080,Sheridan,2/4/2017,A,"3,278"
40090,Damen-Brown,2/4/2017,A,"1,451"
40100,Morse,2/4/2017,A,"3,181"
40120,35th/Archer,2/4/2017,A,"1,341"
40130,51st,2/4/2017,A,579
40140,Dempster-Skokie,2/4/2017,A,776
40150,Pulaski-Cermak,2/4/2017,A,697
40160,LaSalle/Van Buren,2/4/2017,A,449
40170,Ashland-Lake,2/4/2017,A,989
40180,Oak Park-Forest Park,2/4/2017,A,526
40190,Sox-35th-Dan Ryan,2/4/2017,A,"2,485"
40200,Randolph/Wabash,2/4/2017,A,"3,798"
40210,Damen-Cermak,2/4/2017,A,738
40220,Western-Forest Park,2/4/2017,A,827
40230,Cumberland,2/4/2017,A,"1,429"
40240,79th,2/4/2017,A,"4,516"
40250,Kedzie-Homan-Forest Park,2/4/2017,A,"1,226"
40260,State/Lake,2/4/2017,A,"4,339"
40270,Main,2/4/2017,A,804
40280,Central-Lake,2/4/2017,A,"1,315"
40290,Ashland/63rd,2/4/2017,A,625
40300,Indiana,2/4/2017,A,366
40310,Western-Orange,2/4/2017,A,"1,639"
40320,Division/Milwaukee,2/4/2017,A,"2,936"
40330,Grand/State,2/4/2017,A,"8,360"
40340,Berwyn,2/4/2017,A,"2,418"
40350,UIC-Halsted,2/4/2017,A,"1,916"
40360,Southport,2/4/2017,A,"1,831"
40370,Washington/Dearborn,2/4/2017,A,"4,794"
40380,Clark/Lake,2/4/2017,A,"4,521"
40390,Forest Park,2/4/2017,A,"1,373"
40400,Noyes,2/4/2017,A,563
40420,Cicero-Cermak,2/4/2017,A,774
40430,Clinton-Forest Park,2/4/2017,A,"1,164"
40440,California-Cermak,2/4/2017,A,799
40450,95th/Dan Ryan,2/4/2017,A,"5,982"
40460,Merchandise Mart,2/4/2017,A,"1,655"
40470,Racine,2/4/2017,A,737
40480,Cicero-Lake,2/4/2017,A,839
40490,Grand/Milwaukee,2/4/2017,A,"1,158"
40510,Garfield-South Elevated,2/4/2017,A,725
40520,Foster,2/4/2017,A,562
40530,Diversey,2/4/2017,A,"2,629"
40540,Wilson,2/4/2017,A,"3,683"
40550,Irving Park-O'Hare,2/4/2017,A,"2,029"
40560,Jackson/State,2/4/2017,A,"3,635"
40570,California/Milwaukee,2/4/2017,A,"2,869"
40580,54th/Cermak,2/4/2017,A,"1,045"
40590,Damen/Milwaukee,2/4/2017,A,"3,986"
40600,Kostner,2/4/2017,A,235
40610,Ridgeland,2/4/2017,A,490
40630,Clark/Division,2/4/2017,A,"5,705"
40640,Madison/Wabash,2/4/2017,A,0
40650,North/Clybourn,2/4/2017,A,"4,632"
40660,Armitage,2/4/2017,A,"2,068"
40670,Western/Milwaukee,2/4/2017,A,"2,138"
40680,Adams/Wabash,2/4/2017,A,"3,280"
40690,Dempster,2/4/2017,A,683
40700,Laramie,2/4/2017,A,692
40710,Chicago/Franklin,2/4/2017,A,"2,381"
40720,East 63rd-Cottage Grove,2/4/2017,A,652
40730,Washington/Wells,2/4/2017,A,"1,249"
40740,Western-Cermak,2/4/2017,A,650
40750,Harlem-O'Hare,2/4/2017,A,"1,120"
40760,Granville,2/4/2017,A,"3,356"
40770,Lawrence,2/4/2017,A,"2,610"
40780,Central Park,2/4/2017,A,658
40790,Monroe/Dearborn,2/4/2017,A,"1,871"
40800,Sedgwick,2/4/2017,A,"1,886"
40810,Medical Center,2/4/2017,A,895
40820,Rosemont,2/4/2017,A,"2,696"
40830,18th,2/4/2017,A,"1,069"
40840,South Boulevard,2/4/2017,A,381
40850,Library,2/4/2017,A,"1,653"
40870,Francisco,2/4/2017,A,805
40880,Thorndale,2/4/2017,A,"2,030"
40890,O'Hare Airport,2/4/2017,A,"7,420"
40900,Howard,2/4/2017,A,"3,701"
40910,63rd-Dan Ryan,2/4/2017,A,"2,094"
40920,Pulaski-Forest Park,2/4/2017,A,"1,265"
40930,Midway Airport,2/4/2017,A,"3,234"
40940,Halsted/63rd,2/4/2017,A,300
40960,Pulaski-Orange,2/4/2017,A,"1,925"
40970,Cicero-Forest Park,2/4/2017,A,898
40980,Harlem-Forest Park,2/4/2017,A,540
40990,69th,2/4/2017,A,"3,771"
41000,Cermak-Chinatown,2/4/2017,A,"3,889"
41010,Rockwell,2/4/2017,A,872
41020,Logan Square,2/4/2017,A,"3,593"
41030,Polk,2/4/2017,A,684
41040,Kedzie-Cermak,2/4/2017,A,634
41050,Linden,2/4/2017,A,462
41060,Ashland-Orange,2/4/2017,A,783
41070,Kedzie-Lake,2/4/2017,A,721
41080,47th-South Elevated,2/4/2017,A,673
41090,Monroe/State,2/4/2017,A,"4,193"
41120,35-Bronzeville-IIT,2/4/2017,A,940
41130,Halsted-Orange,2/4/2017,A,"1,071"
41140,King Drive,2/4/2017,A,299
41150,Kedzie-Midway,2/4/2017,A,"1,544"
41160,Clinton-Lake,2/4/2017,A,"1,163"
41170,Garfield-Dan Ryan,2/4/2017,A,"2,467"
41180,Kedzie-Brown,2/4/2017,A,"1,263"
41190,Jarvis,2/4/2017,A,"1,152"
41200,Argyle,2/4/2017,A,"2,763"
41210,Wellington,2/4/2017,A,"1,216"
41220,Fullerton,2/4/2017,A,"7,468"
41230,47th-Dan Ryan,2/4/2017,A,"1,972"
41240,Addison-O'Hare,2/4/2017,A,"1,121"
41250,Central-Evanston,2/4/2017,A,298
41260,Austin-Lake,2/4/2017,A,"1,015"
41270,43rd,2/4/2017,A,527
