longitude,run_id,heading,predictable,latitude,id,seconds_since_report,route_id
-118.2084292,60_115_0,355.0,True,33.9044742,5935,59,60
-118.528023,602_1_1,300.0,True,34.048409,5766,57,602
-118.208992,252_70_1,220.0,True,34.093647,5433,58,252
-118.32444,344_49_1,270.0,True,33.872932,8647,116,344
-118.310669,316_356_1,270.0,True,34.069035,5872,58,316
-118.2565335,53_172_1,180.0,True,33.980372,3919,180,53
-118.247803,55_233_1,180.0,True,33.985901,3965,180,55
-118.433624,233_139_1,225.0,True,34.257767,9250,179,233
-118.563652,364_98_1,270.0,True,34.232056,8607,58,364
-118.352592,40_874_0,220.0,True,33.865314,9494,116,40
-118.196411,252_77_0,22.0,True,34.065708,5912,58,252
-118.3565983,210_256_0,360.0,True,33.8673298,8327,59,210
-118.0450915,577_37_1,269.0,True,34.0720437,5884,59,577
-118.2653217,351_257_1,172.0,True,33.9186048,3868,59,351
-118.309036,66_385_1,360.0,True,34.06007,9407,56,66
-118.194901,79_473_1,195.0,True,34.076488,4051,180,79
-118.320999,125_150_1,270.0,True,33.902,11043,179,125
-118.375542,108_402_1,270.0,True,33.988239,3852,180,108
-118.2469033,78_496_0,127.0,True,34.0543813,4156,59,78
-118.287857,950_197_0,360.0,True,33.739803,8365,176,950
-118.258751,780_42_1,231.0,True,34.128654,8064,58,780
-118.56955,901_59_0,105.0,True,34.186653,9546,58,901
-118.254883,48_429_0,210.0,True,34.041782,5476,176,48
-118.441917,20_600_0,75.0,True,34.059494,6075,176,20
-118.419624,750_51_0,90.0,True,34.146091,8024,58,750
-118.353218,740_94_1,250.0,True,33.965527,5504,58,740
-118.209419,60_128_1,165.0,True,33.915611,5456,58,60
-118.283829,40_878_0,89.0,True,34.011066,9584,58,40
-118.308968,207_274_0,360.0,True,33.952847,9337,58,207
-118.15416,720_1058_1,220.0,True,34.018627,9365,179,720
-118.389801,94_216_1,220.0,True,34.255981,8208,58,94
-118.449554,169_119_0,75.0,True,34.208462,4104,59,169
-118.3936888,163_120_0,69.0,True,34.2008865,8189,59,163
-118.15217,79_473_1,260.0,True,34.1041864,4164,59,79
-118.258224,316_358_0,120.0,True,34.05072,5731,180,316
-118.187112,260_236_1,170.0,True,33.9659415,8430,59,260
-118.304413,10_469_1,270.0,True,34.083584,5649,58,10
-118.225449,358_383_0,90.0,True,33.989147,5711,58,358
-118.159698,120_69_0,120.0,True,33.927574,6031,295,120
-118.606064,150_173_0,180.0,True,34.201641,8235,56,150
-118.605965,161_86_1,165.0,True,34.188522,4117,59,161
-118.414413,167_95_1,359.0,True,34.221466,3988,59,167
-118.1855528,611_22_0,187.0,True,33.9873312,5796,59,611
-118.4961622,733_87_1,230.0,True,34.0130413,9335,59,733
-118.377571,224_224_0,328.0,True,34.169876,8261,58,224
-118.14875,79_501_0,90.0,True,34.1040149,7483,179,79
-118.212173,251_110_1,183.0,True,33.955074,8546,58,251
-118.448441,115_507_0,210.0,True,33.958923,8476,179,115
-118.5534473,242_16_0,0.0,True,34.1996364,8250,180,242
-118.287071,111_342_0,75.0,True,33.974602,8454,58,111
-118.605736,245_53_1,360.0,True,34.170208,4091,57,245
-118.473541,166_117_1,271.0,True,34.23563,5471,58,166
-118.159042,260_207_0,360.0,True,34.01442,4050,59,260
-118.3658283,165_149_1,269.0,True,34.1939638,8288,59,165
-118.287399,344_49_1,220.0,True,33.869686,6132,116,344
-118.331291,210_260_1,270.0,True,33.872906,8471,58,210
-118.271568,94_228_0,337.0,True,34.14653,8282,116,94
-118.263672,200_40_0,285.0,True,34.022644,6121,58,200
-118.035568,176_67_1,360.0,True,34.058834,5317,176,176
-118.2552555,115_472_1,271.0,True,33.9602148,8276,59,115
-118.317421,20_600_0,75.0,True,34.061665,5841,176,20
-118.229843,79_501_0,105.0,True,34.056,7673,57,79
-118.5032484,353_141_0,89.0,True,34.2211323,4110,59,353
-118.254166,111_340_0,90.0,True,33.974739,8620,57,111
-118.5485958,162_126_1,272.0,True,34.201156,8259,59,162
-118.497246,733_82_0,220.0,True,34.014942,9312,58,733
-118.289101,2_1057_1,270.0,True,34.098213,6029,56,2
-118.224403,28_549_1,240.0,True,34.122414,8586,116,28
-118.283958,200_39_1,197.0,True,34.0454409,5366,180,200
-118.29982,111_349_1,270.0,True,33.960079,8176,56,111
-118.2840422,200_40_0,359.0,True,34.0417158,4038,59,200
-118.265244,4_263_1,220.0,True,34.033176,4057,59,4
-118.344627,780_42_1,271.0,True,34.101597,8055,179,780
-118.2711147,316_350_1,295.0,True,34.0623127,8225,59,316
-118.504456,162_126_1,255.0,True,34.201229,8139,58,162
-118.210861,252_70_1,195.0,True,34.0421679,7804,116,252
-118.288841,14_418_1,90.0,True,34.076267,5836,58,14
-118.265305,52_212_1,165.0,True,34.002182,3882,59,52
-118.2571193,4_269_0,116.0,True,34.0766097,8405,59,4
-118.308838,207_275_0,0.0,True,34.004108,9482,116,207
